	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.postEventWithWrapInModOrder(ModLoader.java:398)
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.postEventWrapContainerInModOrder(ModLoader.java:387)
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.GameData.postRegisterEvents(GameData.java:351)
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.common.ForgeStatesProvider.lambda$gather$0(ForgeStatesProvider.java:34)
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.handleInlineTransition(ModLoader.java:258)
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.dispatchAndHandleError(ModLoader.java:247)
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.gatherAndInitializeMods(ModLoader.java:214)
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.data.loading.DatagenModLoader.begin(DatagenModLoader.java:46)
	at TRANSFORMER/minecraft@1.21.3/net.minecraft.data.Main.main(Main.java:110)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at SECURE-BOOTSTRAP/net.minecraftforge.fmlloader@1.21.3-53.1.0/net.minecraftforge.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:85)
	at SECURE-BOOTSTRAP/net.minecraftforge.fmlloader@1.21.3-53.1.0/net.minecraftforge.fml.loading.targets.CommonLaunchHandler.lambda$makeService$0(CommonLaunchHandler.java:69)
	at SECURE-BOOTSTRAP/cpw.mods.modlauncher@10.2.4/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:77)
	at SECURE-BOOTSTRAP/cpw.mods.modlauncher@10.2.4/cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:97)
	at SECURE-BOOTSTRAP/cpw.mods.modlauncher@10.2.4/cpw.mods.modlauncher.Launcher.run(Launcher.java:116)
	at SECURE-BOOTSTRAP/cpw.mods.modlauncher@10.2.4/cpw.mods.modlauncher.Launcher.main(Launcher.java:75)
	at SECURE-BOOTSTRAP/cpw.mods.modlauncher@10.2.4/cpw.mods.modlauncher.BootstrapEntry.main(BootstrapEntry.java:17)
	at net.minecraftforge.bootstrap@2.1.7/net.minecraftforge.bootstrap.Bootstrap.moduleMain(Bootstrap.java:188)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at net.minecraftforge.bootstrap.Bootstrap.bootstrapMain(Bootstrap.java:133)
	at net.minecraftforge.bootstrap.Bootstrap.start(Bootstrap.java:53)
	at net.minecraftforge.bootstrap.ForgeBootstrap.main(ForgeBootstrap.java:19)

[22Nov2025 15:53:22.021] [main/ERROR] [net.minecraftforge.fml.javafmlmod.FMLModContainer/LOADING]: Caught exception during event RegisterEvent dispatch for modid cinchsmissingblocks
java.lang.NullPointerException: Block id not set
	at java.base/java.util.Objects.requireNonNull(Objects.java:259) ~[?:?]
	at TRANSFORMER/minecraft@1.21.3/net.minecraft.world.level.block.state.BlockBehaviour$Properties.effectiveDrops(BlockBehaviour.java:1154) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%230!/:?]
	at TRANSFORMER/minecraft@1.21.3/net.minecraft.world.level.block.state.BlockBehaviour.<init>(BlockBehaviour.java:107) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%230!/:?]
	at TRANSFORMER/minecraft@1.21.3/net.minecraft.world.level.block.Block.<init>(Block.java:179) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%230!/:?]
	at TRANSFORMER/minecraft@1.21.3/net.minecraft.world.level.block.RotatedPillarBlock.<init>(RotatedPillarBlock.java:22) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%230!/:?]
	at TRANSFORMER/cinchsmissingblocks@1.1/net.cinchtail.cinchsmissingblocks.block.ModBlocks.lambda$static$124(ModBlocks.java:439) ~[main/:?]
	at TRANSFORMER/cinchsmissingblocks@1.1/net.cinchtail.cinchsmissingblocks.block.ModBlocks.lambda$registerBlock$168(ModBlocks.java:603) ~[main/:?]
